Date,Station,Temperature,Pressure
2023-04-10,StationE,18.6,982.0
2021-01-12,StationB,8.5,1017.9
2020-08-17,StationE,-0.4,1042.3
2024-02-08,StationC,7.2,1016.1
2024-03-21,StationE,25.2,1039.0
2025-01-28,StationD,4.6,1001.0
2025-08-31,StationD,22.7,999.1
2022-11-30,StationE,21.9,1040.6
2020-04-20,StationE,29.6,1020.5
2022-04-30,StationA,32.1,993.5
2021-12-13,StationC,-8.7,995.6
2020-01-12,StationB,20.4,984.8
2025-10-09,StationD,19.0,1046.9
2023-05-26,StationE,-5.9,1020.7
2025-07-10,StationC,20.7,1038.7
2023-06-18,StationC,13.8,985.1
2024-07-23,StationC,22.7,1010.5
2025-04-06,StationB,13.0,1022.1
