Date,Station,Temperature,Pressure
2021-12-20,StationC,37.8,986.4
2023-05-12,StationD,-0.2,1028.4
2023-12-22,StationD,-3.2,1004.7
2023-08-11,StationA,8.5,1002.5
2024-04-23,StationA,6.4,982.8
2023-05-21,StationE,23.6,1036.8
2023-02-15,StationC,27.7,1021.5
2024-02-23,StationA,21.6,1020.2
2023-04-28,StationA,28.8,1041.8
2021-07-15,StationE,-7.6,997.6
2024-09-26,StationB,33.1,1048.5
2023-07-04,StationD,20.4,1000.3
2023-10-31,StationA,39.1,984.1
2023-08-12,StationB,33.1,984.9
2025-12-02,StationA,6.9,1038.6
2020-09-16,StationE,33.3,1010.2
2025-06-15,StationB,6.6,1008.4
2022-06-24,StationA,39.6,1008.9
2020-01-08,StationB,16.5,1023.0
