Date,Station,Temperature,Pressure
2024-04-06,StationE,38.0,1014.9
2024-03-21,StationC,23.4,1036.8
2025-02-14,StationB,34.3,985.9
2025-09-09,StationA,17.4,1000.6
2022-09-09,StationC,6.6,1043.9
2023-11-21,StationB,3.7,1019.6
2022-03-15,StationE,-3.5,994.9
2022-09-03,StationC,8.6,1012.9
2020-08-06,StationB,-7.7,1008.5
2021-05-01,StationE,14.0,1017.6
2024-02-21,StationA,4.0,1009.8
2024-11-05,StationA,18.1,986.2
2023-10-07,StationE,6.4,999.6
2020-10-19,StationE,8.9,1009.7
2025-08-03,StationB,12.6,1010.0
2025-10-28,StationA,39.2,1031.4
2025-03-13,StationB,34.2,982.4
