Date,Station,Temperature,Pressure
2024-12-03,StationA,18.1,989.4
2025-03-20,StationA,23.4,982.1
2022-09-06,StationE,17.1,1041.6
2024-07-19,StationC,4.0,995.6
2021-05-18,StationE,35.4,1023.2
2020-06-11,StationB,-6.6,1047.9
2023-05-28,StationA,37.3,1005.0
2020-12-15,StationA,2.3,1032.5
2025-09-04,StationE,8.9,1008.0
2024-07-31,StationC,31.9,989.8
2025-05-06,StationD,10.8,1025.7
2020-03-04,StationC,-5.4,1050.0
2025-08-24,StationD,26.5,1005.9
2024-02-15,StationB,-9.4,985.3
2025-03-30,StationC,15.1,982.4
