Date,Station,Temperature,Pressure
2024-04-12,StationC,26.0,1025.5
2021-08-20,StationB,32.9,1005.7
2021-03-06,StationE,-3.4,987.3
2023-05-20,StationC,31.7,1044.3
2023-09-20,StationD,-6.8,988.8
2022-02-06,StationB,18.5,1035.4
2022-08-20,StationB,-9.8,1043.7
2020-01-11,StationA,3.6,1013.6
2024-12-23,StationD,13.7,1010.1
2025-01-05,StationB,28.0,980.8
2021-06-04,StationC,31.5,980.8
2024-06-27,StationC,17.9,988.7
2022-10-26,StationB,18.9,1030.1
2023-03-10,StationE,2.8,1019.4
2020-12-12,StationB,33.8,1012.3
