Date,Station,Temperature,Pressure
2024-11-08,StationA,32.0,1026.6
2025-02-25,StationA,20.2,982.1
2024-08-05,StationA,14.6,1047.6
2020-07-15,StationC,21.6,1028.1
2024-05-02,StationE,2.9,992.9
2023-10-20,StationC,26.6,1036.9
2021-09-14,StationA,-6.3,1017.4
2024-03-04,StationD,-0.7,990.2
2022-04-25,StationA,11.2,1039.9
2024-04-26,StationE,1.8,1002.8
2025-06-15,StationB,6.0,994.4
2023-09-23,StationA,20.5,1032.0
2021-04-20,StationB,-9.2,1044.3
2025-07-04,StationC,23.2,1032.3
2024-09-21,StationC,18.7,1005.3
